,Firmenname / COMPANY NAME,rating,Branche / INDUSTRY,Strasse / Street,PostalCode,Stadt / City,Land / COUNTRY,HOURS,phone_number,website,email
0,Alpa Näherei Textilwaren,[],Textilwaren,Aronstr. 40,12057,berlin,Germany,,0152 13 51 81 04,[],[]
1,Alpa Textil Näherei,3.0,Textilwaren,Aronsstr. 86,12057,berlin,Germany,,0152 13 08 78 12,http://www.naeherei.pl,https://www.gelbeseiten.de/gsbiz/cde550fa-7317-44fe-97ee-56676330d850#email-schreiben
2,Altkleiderverkaufberlin Textilwaren,[],Textilwaren,Bahnhofstr. 8‑10,13127,berlin,Germany,,(030) 55 12 14 40,http://www.altkleiderverkaufberlin.com,[]
3,Ananda GmbH Textilhandel,[],Textilwaren,Savignyplatz 2,10623,berlin,Germany,,(030) 3 13 71 13,http://www.ananda-berlin.de,https://www.gelbeseiten.de/gsbiz/1147007a-9801-41b1-beee-eff9bde50f8c#email-schreiben
4,Anziehbar Mode u. Accessoires Modefachgeschäft,[],Textilwaren,Akazienstr. 3A,10823,berlin,Germany,schließt um 18:00,(030) 76 76 59 29,http://www.anziehbar.de,https://www.gelbeseiten.de/gsbiz/2a479a35-ffd1-4b01-b2c9-962eb7434040#email-schreiben
5,Asmis Textilvertrieb,[],Textilwaren,Nordufer 6,13353,berlin,Germany,,0176 30 41 26 94,[],https://www.gelbeseiten.de/gsbiz/1b2ff6d2-d3c7-4cdf-b9b5-272346724bb9#email-schreiben
6,Aufschnitt Textile Object Design,[],Textilwaren,Boxhagener Str. 32,10245,berlin,Germany,öffnet um 14:00,(030) 63 37 15 48,http://www.aufschnitt.net,https://www.gelbeseiten.de/gsbiz/ebbf0b38-f442-46e4-a2d5-110732f22af2#email-schreiben
7,Bassam Almir Ali,[],Textilwaren,Bülowstr. 30,10783,berlin,Germany,,(030) 74 68 42 89,[],[]
8,"Berliner Arroganz, Inh. D. Rothenburg Textilwaren",[],Textilwaren,Kaiserdamm 20,14057,berlin,Germany,,(030) 67 96 69 09,http://www.berliner-arroganz.de,https://www.gelbeseiten.de/gsbiz/c1912d11-14ff-4eec-8210-e2bcaf300c25#email-schreiben
9,Beysun Textilvertriebs GmbH Textilwaren,[],Textilwaren,Juliushof 3,12051,berlin,Germany,,(030) 6 32 25 06-0,http://www.beysun.de,https://www.gelbeseiten.de/gsbiz/683f7e36-b29e-41a6-986f-7f6846c68a0c#email-schreiben
10,Brandmerch GmbH Textilwaren Großhandel,[],Textilwaren,Urbanstr. 116,10967,berlin,Germany,,(030) 69 00 44 30-0,http://www.brandmerch.de,https://www.gelbeseiten.de/gsbiz/097dae7b-948c-4db4-a192-6bd2d3cb29bb#email-schreiben
