,Firmenname / COMPANY NAME,rating,reviews,Branche / INDUSTRY,Strasse / Street,Stadt / City,Land / COUNTRY,opening_hours,phone_number,website
38,A. Liersch GmbH,5.0,(5),Machining manufacturer,Hamburg,hamburg,Germany,,+49 40 6695971,http://www.liersch.com/
24,Actors Workshop Hamburg Inh. Nina Alexandra Singer,,,Drama school,Hamburg,hamburg,Germany,,+49 40 55203850,http://www.actorsworkshop-hamburg.com/html/impressum.html
34,Andrea Frahn,,,Artist,Hamburg,hamburg,Germany,,+49 491 624235705,http://zeitzumsingen.de/
72,Barclaycard Arena Hamburg,4.4,"(12,206)",Arena,Hamburg,hamburg,Germany,,+49 40 80602080,https://www.barclaycard-arena.de/
79,Bernhard Czerr,,,,Hamburg,hamburg,Germany,,+49 40 21098588,
51,Beyond Frames e.V.,0,0,,Hamburg,hamburg,Germany,,,http://www.beyondframes.de/
23,Carola Singer-Lange,0,0,,Hamburg,hamburg,Germany,,+49 40 65681360,
50,Cate Evens - Hochzeitssängerin,,,Corporate office,Hamburg,hamburg,Germany,,+49 160 3335440,http://www.cate-evens-wedding-singer.de/
70,Chorgemeinschaft Bergedorfer Männerchor Hoffnung-Holsatia von 1880 e.V.,,,Club,Hamburg,hamburg,Germany,,+49 40 7353030,
69,Christoph Leuschner,2.6,(5),Doctor,Hamburg,hamburg,Germany,,+49 40 32027190,http://www.helios-kliniken.de/
1,Die Auto Agenten Florian Singer,5.0,(17),Motor vehicle dealer,Hamburg,hamburg,Germany,,+49 160 5607100,http://die-auto-agenten.de/kontakt/
33,Dominika Pitzer,0,0,Artist,Hamburg,hamburg,Germany,,+49 176 47326623,http://wedding-singer-dominika.com/
4,Dr. Percy Singer,5.0,(5),Dentist,Hamburg,hamburg,Germany,,+49 40 25333690,https://www.zahnaerztecitysued.de/
5,Dr. med. Gerd Singer - Institut für Proktologie Norderstedt,3.3,(3),Doctor,,hamburg,Germany,,,http://www.drsinger.de/
29,Dr. med. dent. Jan Brauer,3.9,(28),Dentist,Hamburg,hamburg,Germany,,+49 40 25333690,http://www.zahnaerztecitysued.de/
13,Dülsen + Singer Isoliertechnik GmbH,0,0,Insulation contractor,Hamburg,hamburg,Germany,,+49 40 7129033,
48,EDEKA,3.6,(379),Supermarket,Hamburg,hamburg,Germany,Open until 11:00 PM ·,+49 40 30309880,https://www.edeka.de/eh/nord/edeka-tamme-glockengie%C3%9Ferwall-8-10-(hpt.bahnhof)/index.jsp
