,Firmenname / COMPANY NAME,rating,reviews,Branche / INDUSTRY,Strasse / Street,Stadt / City,Land / COUNTRY,opening_hours,phone_number,website
300,"""Korsmedic"" Kosmetik Berlin - Weissensee - by Dr. Kors",5.0,(1),Facial spa,"im Hautzentrum Weissensee / Dr. Kors, Schönstraße 5",berlin,Germany,Closing soon: 1:00 PM ·,+49 30 343470717,https://korsmedic.de/
251,"""SALON berliner einsichten"".",,,Beauty salon,Berlin,berlin,Germany,,+49 30 60927476,http://berliner-einsichten.com/kontakt
28,(l') Atelier Friseur Berlin / Coiffeur,4.6,(81),Hairdresser,Skalitzer Str. 83,berlin,Germany,,+49 30 61671843,https://www.facebook.com/Latelier-Friseur-184322898280478/
81,2bbeauty,4.5,(16),Nail salon,Hohenzollerndamm 129,berlin,Germany,,+49 30 52104889,
183,AVA Friseur,4.9,(38),Hairdresser,Grünberger Str. 1,berlin,Germany,,+49 30 82717127,http://www.ava-salon.com/
204,AVA Friseur,4.9,(38),Hairdresser,Berlin,berlin,Germany,,+49 30 82717127,http://www.ava-salon.com/
234,AVEDA Lifestyle Salon mycora friseure in Zehlendorf,4.8,(97),Hair salon,Berlin,berlin,Germany,Open until 6:00 PM ·,+49 30 86316663,https://www.mycora.de/
20,Afro Lydia Hair Salon,4.7,(61),Beauty salon,Goebenstraße 7,berlin,Germany,,+49 176 32844120,http://www.afrolydia-berlin.de/
332,Alexanderplatz,4.3,"(147,250)",Plaza,,berlin,Germany,Open until 6:00 PM,,http://www.berlin.de/orte/sehenswuerdigkeiten/alexanderplatz/index.en.php
328,Alge im Botanischen Salon Berlin,,,Raw food restaurant,Am Treptower Park 17,berlin,Germany,,+49 30 52660051,
40,Allure Natural Beauty Spa,4.7,(44),Beauty salon,Nürnberger Str. 20,berlin,Germany,,+49 30 53679238,https://allure-natural-spa.de/
269,Amazon Waxing,4.7,(41),Hair removal service,Berlin,berlin,Germany,,+49 30 30104616,http://www.amazonwaxing.net/
