,Firmenname / COMPANY NAME,rating,reviews,Branche / INDUSTRY,Strasse / Street,Stadt / City,Land / COUNTRY,opening_hours,phone_number,website
176,1887 Streetwear,4.9,(120),Clothing store,Kleine Reichenstraße 15,hamburg,Germany,,+49 40 46862666,
62,53 ° Hamburg | Store | CMD,4.7,(24),Clothing store,Am Kaiserkai 45 Dalmannkai Treppen (Promenade an der Elbe,hamburg,Germany,,+49 40 35738704,
89,AMD Akademie Mode & Design (Hamburg),4.4,(8),College,Alte Rabenstraße 1,hamburg,Germany,,+49 40 2378780,
263,Airbus,4.6,(42),Aircraft maintenance company,Hamburg,hamburg,Germany,,+49 40 74370,
259,Airbus,4.4,(63),Aerospace company,Weg beim Jäger 150,hamburg,Germany,,+49 40 50760,
257,Airbus Delivery Centre,4.5,(71),Corporate office,,hamburg,Germany,,,
258,Airbus Training Center,4.8,(5),School,Hein-Saß-Weg 31,hamburg,Germany,,,
167,Alchemist's Valley,4.8,(134),Tattoo shop,Kreuslerstraße 10,hamburg,Germany,,+49 40 94772925,
252,Altonaer Museum,4.3,(485),History museum,Museumstraße 23,hamburg,Germany,,+49 40 4281350,
97,Apropos The Concept Store,4.1,(25),Women's clothing store,Neuer Jungfernstieg 16,hamburg,Germany,,+49 40 280087750,
193,Asteelflash Design Solutions Hamburg GmbH,,,Electronics manufacturer,Meiendorfer Str. 205,hamburg,Germany,,+49 40 2022997363,
209,Atelier Disko,5.0,(1),Design agency,Virchowstraße 12,hamburg,Germany,,+49 40 228671177,
164,B-LAGE Hamburg,4.8,(25),Store,Kampstraße 11,hamburg,Germany,,+49 40 55435416,
183,BEISSER Hamburg 1836 - Fleischerei / Steak & Grill,4.5,(35),Steak,Jungfernstieg 16-20,hamburg,Germany,,+49 40 34993788,
53,BOSS Shop,3.0,(2),Clothing store,Hamburg,hamburg,Germany,,+49 40 35901639,
52,BOSS Store,4.3,(174),Clothing store,Hamburg,hamburg,Germany,,+49 40 4191340,
22,BRACENET GmbH,5.0,(92),Jewelry designer,Jungfernstieg 44,hamburg,Germany,,+49 40 76485563,
29,BRAUN Hamburg,3.7,(98),Clothing store,Mönckebergstraße 17,hamburg,Germany,,+49 40 334470,
63,BREUNING Trauringlounge Hamburg • Trauringe & Verlobungsringe,4.7,(18),Jeweler,Jungfernstieg 26,hamburg,Germany,,+49 40 34068987,
129,BTK - College of Design (Campus Hamburg),4.7,(6),College,Museumstraße 39,hamburg,Germany,,+49 40 181300260,
74,Bagger & Gehring Goldschmiede OHG,5.0,(4),Jeweler,Große Bleichen 21,hamburg,Germany,,+49 40 35715002,
142,Bang & Olufsen am Rathausmarkt,4.4,(40),Electronics store,Kleine Johannisstraße 10,hamburg,Germany,,+49 40 372310,
21,Bettina Schoenbach Design GmbH,4.0,(1),Clothing store,Neue ABC-Straße 1,hamburg,Germany,,+49 40 89700778,
0,Birgit Nehls,4.7,(3),Fashion designer,Schumannstraße 34,hamburg,Germany,,+49 40 22748048,
234,Blickfang internationale Designmesse Hamburg,4.0,(4),Event management company,Hamburg,hamburg,Germany,,+49 711 9909390,
79,Blumenbinderei Mönckebergstraße,4.7,(31),Florist,Mönckebergstraße 10,hamburg,Germany,,+49 40 338035,
47,BoConcept Hamburg Eppendorf,3.5,(15),Furniture store,Hamburg,hamburg,Germany,,+49 40 46898060,
120,BoConcept Hamburg am Gänsemarkt,4.5,(10),Furniture store,Gänsemarkt 33,hamburg,Germany,,+49 40 524726525,
9,Boombastic Car Design,4.8,(99),Auto tune up service,Sportallee 72,hamburg,Germany,,+49 40 64853275,
71,Bottega Veneta Hamburg Alsterhaus,2.3,(3),Boutique,Jungfernstieg 16-20,hamburg,Germany,,+49 40 30039430,
13,Bruhn Christine Papier & Design,4.7,(21),Office supply store,Bahrenfelder Str. 71,hamburg,Germany,,+49 40 3900099,
85,Bénédí,,,Women's clothing store,Prahlstraße 3,hamburg,Germany,,+49 40 22692584,
44,Büro Korb GmbH,5.0,(2),Interior designer,Hamburg,hamburg,Germany,,+49 40 25304660,
205,CREARE-DESIGN Inh. Christina Hellfritz,5.0,(3),,Isestraße 89,hamburg,Germany,,+49 177 7814133,
158,Campus Suite - Lange Reihe Cafe Pasta Frühstück,4.2,(185),Cafe,Lange Reihe 29,hamburg,Germany,Opens at 8:00 AM ·,+49 40 55502455,
203,Carolin Rauen – Visuelle Kommunikation,,,Design agency,Müggenkampstraße 29a,hamburg,Germany,,+49 40 33362386,
33,Charlotte Ehinger-Schwarz 1876,,,Jewelry designer,Poststraße 25,hamburg,Germany,,+49 40 63607556,
16,Christine Becker - Schmuck,5.0,(4),Jewelry designer,Koppel 66,hamburg,Germany,,+49 40 246468,
151,Claudia Obert,4.5,(13),Shoe store,Stadthausbrücke 1-3,hamburg,Germany,,+49 40 37517854,
241,Claudia Westhaus,,,,Koppel 7,hamburg,Germany,,+49 179 7209079,
185,Comma,3.0,(4),Clothing store,Osdorfer Landstraße 135,hamburg,Germany,,+49 40 80020677,
173,Concrete Home Design GmbH,,,Design agency,Poppenbütteler Bogen 64,hamburg,Germany,,+49 40 56195365,
107,DESIGN MANUFAKTUR - Janine Lux,5.0,(1),Design agency,Königstraße 30,hamburg,Germany,,+49 40 71664009,
90,Design Factory International,4.6,(10),Vocational school one,Kampstraße 15,hamburg,Germany,,+49 40 3171588,
75,Design Offices Hamburg Domplatz,4.3,(119),Business center,Domstraße 10,hamburg,Germany,,+49 40 82217820,
83,Design Offices Hamburg Görttwiete,4.2,(16),Business center,Görttwiete 16-20,hamburg,Germany,,+49 40 82217820,
214,Dipl. Des. Martin Speidel,,,Design agency,Spritzenpl. 7b,hamburg,Germany,,+49 176 24122854,
227,Dynport GmbH,,,Manufacturer,Hamburg,hamburg,Germany,,+49 40 35718774,
163,ECCO,3.8,(28),Shoe store,Neuer Wall 18,hamburg,Germany,,+49 40 35018484,
65,EHINGER SCHWARZ 1876 - Ihr Juwelier in Hamburg,4.5,(27),Jeweler,Große Bleichen 35,hamburg,Germany,,+49 40 354422,
104,EIGA Design,5.0,(1),Design agency,Spritzenpl. 6,hamburg,Germany,,+49 40 188812360,
221,Elb Design,,,,,hamburg,Germany,,,
174,Elbbraut - Brautmode,4.4,(81),Clothing store,Neanderstraße 41,hamburg,Germany,,+49 40 66877584,
177,Erika Gülich und Arnold Strack Akari Design,,,Design,Hegestraße 7,hamburg,Germany,,+49 40 470625,
168,Esprit Store,4.2,(271),Clothing store,Mönckebergstraße 11,hamburg,Germany,,+49 30 22380663,
159,FHP-design,,,Design agency,Willy-Brandt-Straße 49,hamburg,Germany,,+49 40 30309950,
118,FLYERALARM City Center Hamburg,4.5,(150),Print shop,Willy-Brandt-Straße 55,hamburg,Germany,,+49 931 46584001,
125,FREITAG Store Hamburg,4.5,(119),Bag shop,Klosterwall 9,hamburg,Germany,,+49 40 3287020,
194,FURLA CORNER,,,Fashion accessories store,Mönckebergstraße 6 PEEK&CLOPPENBURG,hamburg,Germany,,+49 40 3396701,
186,FURLA CORNER,1.0,(2),Fashion accessories store,"ALSTERHAUS, Jungfernstieg 16-20 KARSTADT ALSTERHAUS",hamburg,Germany,,+49 40 359010,
188,FURLA CORNER,,,Fashion accessories store,"KARSTADT, Mönckebergstraße 16",hamburg,Germany,,+49 40 30940,
248,FURLA CORNER,4.5,(29),Fashion accessories store,"Oderstraße 10 - McArthurGlen Designer Outlet Neumünster, Unit 81",hamburg,Germany,,+49 4321 5560628,
211,Flensburg Ship Design GmbH,5.0,(1),Engineering consultant,Haferweg 26,hamburg,Germany,,+49 461 49400,
110,Format Design Visual Identities GmbH,5.0,(2),Design agency,Winterstraße 4,hamburg,Germany,,+49 40 49299990,
191,GIBBON Deli.Cafe,3.5,(37),Cafe,Englische Planke 6,hamburg,Germany,Opens at 10:00 AM ·,+49 40 80002060,
48,Garment Hamburg,4.2,(5),Clothing store,Hamburg,hamburg,Germany,,+49 40 4108403,
243,Gastwerk Hotel Hamburg,4.6,(998),4-star hotel,Beim Alten Gaswerk 3,hamburg,Germany,,+49 40 890620,
15,Gauger-Design inh. Sebastian Gauger,4.2,(9),Garden furniture shop,Kurt-A.-Körber-Chaussee 113,hamburg,Germany,,+49 40 73929358,
56,Goldene Zeiten Chronometrie & Juwelier,3.6,(10),Jeweler,Hamburg,hamburg,Germany,,+49 40 35712330,
93,Goldschmied Piotr Motyczynski,5.0,(1),Goldsmith,Poststraße 14-16,hamburg,Germany,,+49 177 3492362,
77,Goldschmiede Bode,3.0,(3),Goldsmith,Ferdinandstraße 34,hamburg,Germany,,+49 40 335082,
68,Goldschmiede Christoph Greinert,4.6,(9),Goldsmith,Alstertor 1,hamburg,Germany,,+49 40 337114,
70,Goldschmiede HAGEN,5.0,(2),Goldsmith,Schauenburgerstraße 44,hamburg,Germany,,+49 40 3743452,
96,Granit Store,4.6,(47),Home goods store,Poststraße 20,hamburg,Germany,,+49 40 87409000,
146,Gruenweiss Design,,,Design agency,Rothenbaumchaussee 79,hamburg,Germany,,+49 30 093453,
112,Gucci,3.9,(300),Women's clothing store,Neuer Wall 34,hamburg,Germany,,+49 40 3576330,
40,Gudrun Sjödén - concept store Hamburg,4.5,(114),Women's clothing store,Hamburg,hamburg,Germany,,+49 40 37502222,
237,Gänsemarkt Passage,4.0,(401),Shopping mall,Hamburg,hamburg,Germany,,+49 40 28809910,
54,Gärtner Int. furniture,4.2,(55),Furniture store,Hamburg,hamburg,Germany,,+49 40 3560090,
192,H&M HOME,4.4,(158),Home goods store,Mönckebergstraße 11,hamburg,Germany,,+49 800 6655900,
189,HALLHUBER,4.1,(22),Clothing store,Poststraße 14-16,hamburg,Germany,,+49 89 35624110053,
178,"HAW Hamburg - Faculty of Design, Media and Information",4.8,(6),Media company,Finkenau 35,hamburg,Germany,,+49 40 428750,
155,"HAW Hamburg - Faculty of Design, Media, and Information",4.4,(9),University,Finkenau 35,hamburg,Germany,,+49 40 428754641,
152,HID Human Interface Design GmbH,5.0,(1),Design agency,Stresemannstraße 375,hamburg,Germany,,+49 40 46899730,
161,HMK Masskonfektion,4.4,(68),Store,Steinstraße 15,hamburg,Germany,,+49 40 28479498,
175,Habrima - Hanseatische Brillenmanufaktur,,,Store,Ballindamm 17,hamburg,Germany,,+49 40 18981886,
232,Hadi Teherani Headquarters,5.0,(9),Architect,Hamburg,hamburg,Germany,,+49 40 248420,
212,Hafencity Designer Markt,4.5,(2),Market,Großer Grasbrook 17,hamburg,Germany,,+49 40 431795920,
116,Hajok Design GmbH & Co. KG,5.0,(2),Design agency,Mühlenkamp 59,hamburg,Germany,,+49 40 30033770,
253,Hamburg University of Applied Sciences,4.1,(71),University,Berliner Tor 5,hamburg,Germany,,+49 40 428750,
101,Harm Jopp Jerseys,4.9,(18),Clothing store,Hegestraße 21,hamburg,Germany,,+49 40 46009041,
18,Haus of Dietrich,5.0,(1),Jewelry designer,Neuer Jungfernstieg 15,hamburg,Germany,,+49 40 34994177,
169,Held und Team Partnerschaftsgesellschaft,5.0,(1),Design agency,Ulmenstraße 21,hamburg,Germany,,+49 40 4807075,
213,Held+Team Partnerschaftsgesellschaft,5.0,(1),Design agency,Ulmenstraße 21,hamburg,Germany,,+49 40 4807075,
172,Held+Team Partnerschaftsgesellschaft,5.0,(1),Design agency,Ulmenstraße 21,hamburg,Germany,,+49 40 4807075,
156,HenkundHenri Keksmanufaktur,4.6,(20),Store,Lehmweg 46,hamburg,Germany,,+49 172 4588989,
25,Herret von Haeften GmbH,5.0,(9),Interior designer,Zippelhaus 3,hamburg,Germany,,+49 40 28056199,
166,Higgins Design GmbH,5.0,(1),Design agency,Schanzenstraße 46,hamburg,Germany,,+49 40 43270820,
78,Hilde Leiss,4.8,(10),Goldsmith,Großer Burstah 38,hamburg,Germany,,+49 40 365574,
55,House & Garden,5.0,(7),Furniture store,Hamburg,hamburg,Germany,,+49 40 441710,
115,IKEA,4.2,"(7,400)",Furniture store,Große Bergstraße 164,hamburg,Germany,,+49 6192 9399999,
150,IKEA,4.2,"(7,501)",Furniture store,Wunderbrunnen 1,hamburg,Germany,,+49 40 55902990,
136,IKEA furniture store Hamburg-Moorfleet,4.3,"(8,933)",Furniture store,Unterer Landweg 77,hamburg,Germany,,+49 6192 9399999,
224,Indeed Innovation GmbH,4.3,(3),Business management consultant,Hamburg,hamburg,Germany,,+49 40 28467400,
179,JIMMY Hamburg Schanzenstr. 5,4.6,(25),Used clothing store,Schanzenstraße 5,hamburg,Germany,,+49 40 71664955,
114,JUNO GmbH & Co. KG,5.0,(2),Design agency,Budapester Str. 49,hamburg,Germany,,+49 40 4328050,
23,JUVELAN,5.0,(14),Jewelry designer,,hamburg,Germany,,+49 40 35034236,
60,Jeweler H. Spliedt Hamburg,4.5,(8),Jewelry store,Neue ABC-Straße 4,hamburg,Germany,,+49 40 33441541,
58,Jeweler Wempe in Hamburg - Jewelry & Watches,4.6,(121),Jeweler,Hamburg,hamburg,Germany,,+49 40 33448824,
197,Jimmy Fairly Hamburg,5.0,(11),Optician,"Alsterhaus Hamburg, Jungfernstieg 16-20",hamburg,Germany,,,
88,Julian Rentzsch,,,Graphic designer,Große Johannisstraße 13,hamburg,Germany,,+49 1516 8132752,
225,Jung von Matt AG,4.1,(34),Advertising agency,Hamburg,hamburg,Germany,,+49 40 43210,
229,Jung von Matt/brand identity GmbH,,,Advertising agency,Hamburg,hamburg,Germany,,+49 40 43210,
198,JustUs Hamburg Design- und Vertriebsgesellschaft mbH & Co. KG,,,Design,Lindenstraße 27,hamburg,Germany,,+49 40 28056285,
82,Juwelier Kraemer,4.6,(49),Jewelry store,Mönckebergstraße 5,hamburg,Germany,,+49 40 337120,
61,Juwelier Wempe in Hamburg - Schmuck und Uhren,4.2,(58),Jeweler,Mönckebergstraße 19,hamburg,Germany,,+49 40 33448822,
59,KONPLOTT Hamburg Hanseviertel,4.4,(12),Fashion accessories store,Hamburg,hamburg,Germany,,+49 40 35015484,
131,KOREFE,,,Design agency,Dienerreihe 2,hamburg,Germany,,+49 40 3254230,
117,KYLDO HAMBURG (neuer Markenname für Aluminiumkunst Deutschland),4.8,(13),Store,Gänsemarkt 50,hamburg,Germany,,+49 40 35030564,
126,Kaufhaus Hamburg,4.4,(125),Gift shop,Lange Reihe 70,hamburg,Germany,,+49 40 22815669,
50,Kleidkunst,,,Women's clothing store,Hamburg,hamburg,Germany,,+49 40 39873505,
200,LADA Sport Gmbh,,,Race car dealer,Domstraße 11,hamburg,Germany,,+49 40 24822342,
17,LGK Interiors Hamburg - Inneneinrichtung & Interior Design,5.0,(1),Interior designer,Brooktorkai 16,hamburg,Germany,,+49 40 30375195,
199,LICHT 01 Lighting Design,4.7,(6),Engineer,Fettstraße 7a,hamburg,Germany,,+49 40 43095323,
