,Firmenname / COMPANY NAME,rating,reviews,Branche / INDUSTRY,Strasse / Street,Stadt / City,Land / COUNTRY,opening_hours,phone_number,website
18,A. Liersch GmbH,5.0,(5),Machining manufacturer,Hamburg,hamburg,Germany,,+49 40 6695971,http://www.liersch.com/
4,Actors Workshop Hamburg Inh. Nina Alexandra Singer,,,Drama school,Hamburg,hamburg,Germany,,+49 40 55203850,http://www.actorsworkshop-hamburg.com/html/impressum.html
14,Andrea Frahn,,,Artist,Hamburg,hamburg,Germany,,+49 491 624235705,http://zeitzumsingen.de/
52,Barclaycard Arena Hamburg,4.4,"(12,206)",Arena,Hamburg,hamburg,Germany,,+49 40 80602080,https://www.barclaycard-arena.de/
59,Bernhard Czerr,,,,Hamburg,hamburg,Germany,,+49 40 21098588,
31,Beyond Frames e.V.,0,0,,Hamburg,hamburg,Germany,,,http://www.beyondframes.de/
3,Carola Singer-Lange,0,0,,Hamburg,hamburg,Germany,,+49 40 65681360,
30,Cate Evens - Hochzeitssängerin,,,Corporate office,Hamburg,hamburg,Germany,,+49 160 3335440,http://www.cate-evens-wedding-singer.de/
50,Chorgemeinschaft Bergedorfer Männerchor Hoffnung-Holsatia von 1880 e.V.,,,Club,Hamburg,hamburg,Germany,,+49 40 7353030,
49,Christoph Leuschner,2.6,(5),Doctor,Hamburg,hamburg,Germany,,+49 40 32027190,http://www.helios-kliniken.de/
13,Dominika Pitzer,0,0,Artist,Hamburg,hamburg,Germany,,+49 176 47326623,http://wedding-singer-dominika.com/
9,Dr. med. dent. Jan Brauer,3.9,(28),Dentist,Hamburg,hamburg,Germany,,+49 40 25333690,http://www.zahnaerztecitysued.de/
28,EDEKA,3.6,(379),Supermarket,Hamburg,hamburg,Germany,Open until 11:00 PM ·,+49 40 30309880,https://www.edeka.de/eh/nord/edeka-tamme-glockengie%C3%9Ferwall-8-10-(hpt.bahnhof)/index.jsp
24,EDEKA Struve,4.2,(557),Supermarket,Hamburg,hamburg,Germany,,+49 40 345317,https://edeka-struve.de/de/Marktdetailseite/Schlemmer-Markt-Struve-im-Hanse-Viertel-1
26,ESCADA,3.4,(11),Clothing store,Hamburg,hamburg,Germany,,+49 40 363296,https://www.escada.com/de
27,Edeka Struve - Großer Burstah,4.0,(590),Supermarket,Hamburg,hamburg,Germany,,+49 40 364737,http://www.edeka-struve.de/
40,Edition Contra-Bass UG (haftungsbeschränkt),,,Publisher,Hamburg,hamburg,Germany,,,http://www.contra-bass.de/
23,Elbphilharmonie Hamburg,4.6,"(44,376)",Concert hall,Hamburg,hamburg,Germany,,+49 40 3576660,https://www.elbphilharmonie.de/de/
36,Falk Fetzer,0,0,Computer consultant,Hamburg,hamburg,Germany,,+49 172 3715489,http://falkfetzer.de/
64,Frau Martina Heuer,,,Alternative medicine practitioner,Hamburg,hamburg,Germany,,+49 40 4201950,http://www.martinaheuer.de/
2,Friends od SoYA Singer e.V.,,,,Hamburg,hamburg,Germany,,,
0,Günter Singer,,,Insurance company,Hamburg,hamburg,Germany,,+49 40 6474442,
37,Hamburg,,,,,hamburg,Germany,,,
7,Hanseatic Musikverlag GmbH & Co. KG,0,0,Music store,Hamburg,hamburg,Germany,,+49 40 4418020,http://www.warnerchappell.com/
12,Harlem Street Singer,0,0,,Hamburg,hamburg,Germany,,+49 40 4107166,http://www.harlemstreetsinger.com/contact/
15,Heidi Karlsson,0,0,Artist,Hamburg,hamburg,Germany,,+49 40 20975555,http://www.heidi-karlsson.com/sv/kontakt/
38,Herr Dr. Clemens Vogelmann,,,Dentist,Hamburg,hamburg,Germany,,+49 40 4201930,http://www.dr-vogelmann.de/
44,Herr Prof. Dr. Rene Santer,,,Pediatrician,Hamburg,hamburg,Germany,,+49 40 741058386,https://www.uke.de/kliniken-institute/kliniken/kinder-und-jugendmedizin/%C3%BCber-die-klinik/team/rene-santer.html
42,Herr Prof. Dr. med. Dr. med. habil. Jochen Weil,,,Doctor,Hamburg,hamburg,Germany,,+49 40 741053718,https://www.uke.de/kliniken-institute/kliniken/kinderkardiologie/%C3%BCber-die-klinik/team/arztfinder_detailseite_olfe.html
