,Firmenname / COMPANY NAME,rating,reviews,Branche / INDUSTRY,Strasse / Street,Stadt / City,Land / COUNTRY,opening_hours,phone_number,website
1,ANails Nagelstudio,3.9,(69),Nail salon,Brunnenstraße 178,berlin,Germany,,+49 30 27581001,https://anails-brunnenstrasse.mytreatwell.de/
19,Afro Lydia Hair Salon,4.7,(61),Beauty salon,Goebenstraße 7,berlin,Germany,,+49 176 32844120,http://www.afrolydia-berlin.de/
3,Aveda Lifestyle Salon & Spa,4.3,(121),Beauty salon,Kurfürstendamm 26A,berlin,Germany,,+49 30 88708790,http://www.aveda.de/
8,Berlin Hair Care Salon,4.7,(31),Hair salon,"Vorderhaus, Gartenstraße 2, 10115 Berlin (1.st Floor, Gartenstraße",berlin,Germany,Opens at 10:00 AM ·,+49 176 70634368,http://www.berlinhaircare.de/
9,Girly Beauty Lounge,4.9,(81),Nail salon,Mulackstraße 20,berlin,Germany,,+49 30 37475020,https://girlybeautylounge.mytreatwell.de/
6,Glowy Beauty Bar,4.2,(107),Beauty salon,Rochstraße 17,berlin,Germany,,+49 30 25763120,http://www.glowybeautybar.com/
7,HOSHI COUPE Berlin,4.3,(147),Beauty salon,Garnisonkirchplatz 2,berlin,Germany,,+49 30 27891720,http://hoshicoupe.com/
4,Hair Sweet Hair,4.4,(126),Beauty salon,Fuldastraße 41,berlin,Germany,,+49 30 95602840,http://hairsweethair.de/
20,"Hairdressing & Beauty salon ""Beauty Lounge""",3.7,(25),Beauty salon,Ritterstraße 41,berlin,Germany,,+49 30 6151505,http://www.beautylounge-akademie.de/
11,JANA HAIR CLASS,4.1,(60),Hair salon,Berliner Freiheit 2,berlin,Germany,,+49 30 26101920,http://www.janaeichler.de/
10,K & K Beauty | Your beauty salon in Berlin Mitte,4.6,(20),Beauty salon,Dircksenstraße 42,berlin,Germany,,+49 30 28387890,https://www.k-k-kosmetik.de/
14,MU Berlin,4.8,(74),Hair salon,Linienstraße 154A,berlin,Germany,,+49 30 97005704,http://www.mu-berlin.de/
12,Milan's,4.7,(40),Hair salon,Mommsenstraße 68,berlin,Germany,,+49 30 8816667,http://www.milans.de/
17,Penthouse111 Manuel Wester,4.3,(33),Beauty salon,Dresdener Str. 111,berlin,Germany,,+49 30 92283189,http://www.penthouse111.de/
15,Salon NEW STYLE,4.4,(86),Beauty salon,Schönhauser Allee 115,berlin,Germany,,+49 30 407503,
0,"Sauber, schmerzlos, schön..",4.8,(63),Beauty salon,Pichelsdorfer Str. 35,berlin,Germany,,+49 30 23904367,https://www.google.com/aclk?sa=l&ai=DChcSEwjq5MWV0pjpAhWSQ9MKHQX8B14YABAAGgJ3Yg&sig=AOD64_3ZJuCcxJ1OScsC_3TgJ3QbH5UMfw&adurl&rct=j&q&ctype=99
18,TONI&GUY Berlin Knesebeckstraße,4.1,(60),Hair salon,Knesebeckstraße 35,berlin,Germany,,+49 30 88912745,http://toniandguy.de/
16,Wolfgang Zimmer,3.8,(21),Beauty salon,Rosenthaler Str. 36,berlin,Germany,,+49 30 8813206,http://www.wolfgangzimmer-friseur.de/
2,icono germany GmbH,5.0,(9),Beauty salon,Linienstraße 152,berlin,Germany,Opens at 8:00 AM ·,+49 30 3088160,http://www.icono.de/
13,iramasure,4.7,(153),Beauty salon,Winterfeldtstraße 13,berlin,Germany,,+49 30 34503066,https://www.iramasure.de/
5,peter arnheim haare & makeup Berlin,4.8,(49),Beauty salon,Keithstraße 17,berlin,Germany,Opens at 10:00 AM ·,+49 30 85407807,http://www.peterarnheim.de/
