,Firmenname / COMPANY NAME,rating,Branche / INDUSTRY,Strasse / Street,PostalCode,Stadt / City,Land / COUNTRY,HOURS,phone_number,website,email
67,Alpa Näherei Textilwaren,[],Textilwaren,Aronstr. 40,12057,berlin,Germany,,0152 13 51 81 04,[],[]
54,Alpa Textil Näherei,3.0,Textilwaren,Aronsstr. 86,12057,berlin,Germany,,0152 13 08 78 12,http://www.naeherei.pl,https://www.gelbeseiten.de/gsbiz/cde550fa-7317-44fe-97ee-56676330d850#email-schreiben
76,Altkleiderverkaufberlin Textilwaren,[],Textilwaren,Bahnhofstr. 8‑10,13127,berlin,Germany,,(030) 55 12 14 40,http://www.altkleiderverkaufberlin.com,[]
26,Ananda GmbH Textilhandel,[],Textilwaren,Savignyplatz 2,10623,berlin,Germany,,(030) 3 13 71 13,http://www.ananda-berlin.de,https://www.gelbeseiten.de/gsbiz/1147007a-9801-41b1-beee-eff9bde50f8c#email-schreiben
9,Anziehbar Mode u. Accessoires Modefachgeschäft,[],Textilwaren,Akazienstr. 3A,10823,berlin,Germany,schließt um 18:00,(030) 76 76 59 29,http://www.anziehbar.de,https://www.gelbeseiten.de/gsbiz/2a479a35-ffd1-4b01-b2c9-962eb7434040#email-schreiben
7,Asmis Textilvertrieb,[],Textilwaren,Nordufer 6,13353,berlin,Germany,,0176 30 41 26 94,[],https://www.gelbeseiten.de/gsbiz/1b2ff6d2-d3c7-4cdf-b9b5-272346724bb9#email-schreiben
37,Aufschnitt Textile Object Design,[],Textilwaren,Boxhagener Str. 32,10245,berlin,Germany,öffnet um 14:00,(030) 63 37 15 48,http://www.aufschnitt.net,https://www.gelbeseiten.de/gsbiz/ebbf0b38-f442-46e4-a2d5-110732f22af2#email-schreiben
14,Bassam Almir Ali,[],Textilwaren,Bülowstr. 30,10783,berlin,Germany,,(030) 74 68 42 89,[],[]
55,"Berliner Arroganz, Inh. D. Rothenburg Textilwaren",[],Textilwaren,Kaiserdamm 20,14057,berlin,Germany,,(030) 67 96 69 09,http://www.berliner-arroganz.de,https://www.gelbeseiten.de/gsbiz/c1912d11-14ff-4eec-8210-e2bcaf300c25#email-schreiben
66,Beysun Textilvertriebs GmbH Textilwaren,[],Textilwaren,Juliushof 3,12051,berlin,Germany,,(030) 6 32 25 06-0,http://www.beysun.de,https://www.gelbeseiten.de/gsbiz/683f7e36-b29e-41a6-986f-7f6846c68a0c#email-schreiben
29,Brandmerch GmbH Textilwaren Großhandel,[],Textilwaren,Urbanstr. 116,10967,berlin,Germany,,(030) 69 00 44 30-0,http://www.brandmerch.de,https://www.gelbeseiten.de/gsbiz/097dae7b-948c-4db4-a192-6bd2d3cb29bb#email-schreiben
2,Burg & Schild Redwing Textil- & Schuhwaren,[],Textilwaren,Rosa‑Luxenburg‑Str. 3,10178,berlin,Germany,schließt um 19:00,(030) 24 63 05 01,http://www.burgundschild.com,https://www.gelbeseiten.de/gsbiz/a1410257-5b4b-4032-bce1-a10a14df5e5b#email-schreiben
35,Caner Textil Textilhandel,2.0,Textilwaren,Schillerstr. 65,10627,berlin,Germany,,(030) 34 62 87 54,[],[]
64,Cesaria Textilhandel GmbH,[],Textilwaren,Mariendorfer Damm 1,12099,berlin,Germany,,(030) 70 20 95 73,[],[]
153,Chic & Charmant,[],Textilwaren,Kirchstr. 5,14641,berlin,Germany,öffnet Montag um 09:00,(03321) 4 88 88,[],[]
4,Closed,[],Textilwaren,Budapester Str 28‑50,10787,berlin,Germany,schließt um 20:00,(030) 26 36 93 85,http://www.closed.com,https://www.gelbeseiten.de/gsbiz/4fbbc83d-e982-4e92-8cdf-2a73589c16ba#email-schreiben
12,Closed by 14oz,[],Textilwaren,Alte Schönhauser Str. 32B,10178,berlin,Germany,schließt um 20:00,(030) 25 76 08 76,https://www.closed.com/,mailto:shop.berlinmitte@closed.com?subject=Anfrage%20%C3%BCber%20Gelbe%20Seiten
33,Dekoria GmbH Heimtextilhandel,[],Textilwaren,Bundesplatz 8,10715,berlin,Germany,öffnet Montag um 07:00,(030) 5 55 78 32 80,http://www.dekoria.de,https://www.gelbeseiten.de/gsbiz/45c540c6-346b-4e57-b2bc-e62a6955aed4#email-schreiben
159,Dipl.-Ing. Rolf Hegenbart Raumausstattermeister,[],Raumausstattung,Seematen 8,14532,berlin,Germany,öffnet Montag um 10:00,(033203) 2 46 00,http://www.raumausstatter-rolf-hegenbart.de,mailto:rolfhegenbart@t-online.de?subject=Anfrage%20%C3%BCber%20Gelbe%20Seiten
154,Domke & Zechlin GbR Einzelhandel für Textilien,[],Textilwaren,Kemnitzer Str. 56,14542,berlin,Germany,,(03327) 5 20 33 94,http://www.myrebella.de,https://www.gelbeseiten.de/gsbiz/a7734e41-6ea7-4bee-a714-f82e2ddc506e#email-schreiben
143,Dossow Doris mobiler Textilhandel,[],Textilwaren,Am Fichtenberg 14,14552,berlin,Germany,,(033205) 4 50 30,[],[]
175,"Eichelbaum Sigrid Textilien-, Kurz- u.Schreibwaren",[],Textilwaren,Käthe‑Kollwitz‑Str. 16,14943,berlin,Germany,,(03371) 63 09 43,http://www.deutschepost.de/,https://www.gelbeseiten.de/gsbiz/f448c58e-4e0c-4114-a16b-1869a9138114#email-schreiben
75,Euro Price Talay,[],Textilwaren,Königsheideweg 9,12437,berlin,Germany,schließt um 16:00,(030) 78 89 43 40,http://www.europrice-talay.de,mailto:info@europrice-talay.de?subject=Anfrage%20%C3%BCber%20Gelbe%20Seiten
83,F&P Stock Solution GmbH,[],Textilwaren,Straße der Einheit 142‑148,14612,berlin,Germany,,(03322) 4 26 55 66,http://www.schuhverwerter.de,mailto:info@stock-solution.de?subject=Anfrage%20%C3%BCber%20Gelbe%20Seiten
124,Fashion FC Club GmbH,[],Textilwaren,Babelsberger Str. 16,14473,berlin,Germany,schließt um 20:00,(0331) 87 09 51 82,http://www.myfashionclub.com,https://www.gelbeseiten.de/gsbiz/9bc1c391-7688-498b-ada2-72812f2c4e65#email-schreiben
61,Ferdinand Dameris GmbH & Co KG Textilwaren,[],Textilwaren,Bergholzstr. 2,12099,berlin,Germany,,(030) 66 06 87-0,http://www.dameris.de,https://www.gelbeseiten.de/gsbiz/4e9893f6-e3b3-4ba0-85b9-274a7573c78e#email-schreiben
25,For Kings and Queens Textilhandels GmbH Textilwaren,[],Textilwaren,Zossener Str. 32,10961,berlin,Germany,,(030) 62 73 68 59,[],[]
43,Frottana-Textil GmbH & Co. KG Textilwaren,[],Textilwaren,Kaiser‑Friedrich‑Str. 90,10585,berlin,Germany,,(030) 3 43 83 92-0,http://www.moeve.de/,https://www.gelbeseiten.de/gsbiz/f0ed6c3c-b973-439b-84f6-21b891f92197#email-schreiben
69,Frottier-Center Textilwaren,[],Textilwaren,Steglitzer Damm 96A,12169,berlin,Germany,,(030) 72 32 37 77,[],[]
166,G-Star Raw Textilwaren,[],Bekleidung,Grunerstr. 20,10179,berlin,Germany,schließt um 21:00,(030) 24 08 31 51,http://www.g-star.com,https://www.gelbeseiten.de/gsbiz/a1e6db55-3e9a-4398-b343-24267db4fd78#email-schreiben
119,GSE Texprint solutions GmbH Textilwaren,[],Textilwaren,Kablower Weg 89,12526,berlin,Germany,,(030) 89 73 23 20,http://texprint-solutions.com,https://www.gelbeseiten.de/gsbiz/0b9ed4aa-3721-4f14-a277-876194feb83b#email-schreiben
23,Gant Store,[],Textilwaren,Budapester Str. 44,10178,berlin,Germany,,(030) 26 55 74 47,[],[]
114,Gerry Weber International,[],Textilwaren,Sterncenter,14480,berlin,Germany,schließt um 21:00,(0331) 60 03 35 94,http://www.house-of-gerryweber.de,https://www.gelbeseiten.de/gsbiz/1bae2d33-a2e5-4e08-a7b9-6516d02b6457#email-schreiben
103,Gina Laura,[],Textilwaren,Döberitzer Weg 5,14624,berlin,Germany,schließt um 21:00,(03322) 2 29 25,http://www.gina-laura.com/de/,mailto:info@gina-laura.com?subject=Anfrage%20%C3%BCber%20Gelbe%20Seiten
147,Heibuch Helga & Andreas G.b.r. Textilhaus Heibuch,[],Textilwaren,Berliner Str. 103a,15537,berlin,Germany,schließt um 12:30,(03362) 88 21 42,[],[]
148,Hoffmann Textilhandel GmbH,[],Textilwaren,Chausseestr. 1,15745,berlin,Germany,,(03375) 50 01 14,[],[]
