,Firmenname / COMPANY NAME,rating,reviews,Branche / INDUSTRY,Strasse / Street,Stadt / City,Land / COUNTRY,opening_hours,phone_number,website
152,"""SALON berliner einsichten"".",,,Beauty salon,Tucholskystraße 48, berlin,Germany,,+49 30 60927476,http://berliner-einsichten.com/kontakt
33,(l') Atelier Friseur Berlin / Coiffeur,4.6,(81),Hairdresser,Skalitzer Str. 83, berlin,Germany,,+49 30 61671843,https://www.facebook.com/Latelier-Friseur-184322898280478/
65,2bbeauty,4.5,(16),Nail salon,Hohenzollerndamm 129, berlin,Germany,,+49 30 52104889,
90,AVEDA Lifestyle Salon mycora friseure in Zehlendorf,4.8,(97),Hair salon,Clayallee 321, berlin,Germany,Open until 6:00 PM ·,+49 30 86316663,https://www.mycora.de/
112,AVEDA Lifestyle Salon mycora friseure in Zehlendorf,4.8,(97),Hair salon,Clayallee 321, berlin,Germany,Open until 6:00 PM ·,+49 30 86316663,https://www.mycora.de/
24,Afro Lydia Hair Salon,4.7,(61),Beauty salon,Goebenstraße 7, berlin,Germany,,+49 176 32844120,http://www.afrolydia-berlin.de/
191,Alexanderplatz,4.3,"(147,253)",Plaza,, berlin,Germany,Open until 6:00 PM,,http://www.berlin.de/orte/sehenswuerdigkeiten/alexanderplatz/index.en.php
186,Alge im Botanischen Salon Berlin,,,Raw food restaurant,Am Treptower Park 17, berlin,Germany,,+49 30 52660051,
42,Allure Natural Beauty Spa,4.7,(44),Beauty salon,Nürnberger Str. 20, berlin,Germany,,+49 30 53679238,https://allure-natural-spa.de/
43,Andreas Kurkowitz Coloring Studio,4.8,(49),Hair salon,Brunnenstraße 27, berlin,Germany,,+49 30 33308118,http://www.andreaskurkowitz.com/
188,Aveda,4.8,(6),Cosmetics store,Rosenthaler Str. 40/41, berlin,Germany,,+49 30 257620440,http://www.aveda.de/
3,Aveda Lifestyle Salon & Spa,4.3,(121),Beauty salon,Kurfürstendamm 26A, berlin,Germany,,+49 30 88708790,http://www.aveda.de/
126,Aveda Salon Strauch Friseure,4.8,(85),Hair salon,Mariendorfer Damm 126, berlin,Germany,,+49 30 7053040,http://www.strauchfriseure.de/
55,BE A DIVA,5.0,(12),Beauty salon,Steinstraße 4, berlin,Germany,,,http://beadiva15.de/
157,BENIM Frisör,4.4,(17),Hairdresser,Leibnizstraße 70B, berlin,Germany,,+49 30 25201061,
125,BO Nails Spa,4.5,(62),Nail salon,Tamara-Danz-Straße 11, berlin,Germany,,+49 30 27598088,https://bo-nails-spa.mytreatwell.de/
79,Beauty Nails im Kaufland am Alexanderplatz,3.8,(16),Nail salon,Karl-Liebknecht-Str. 7-13, berlin,Germany,,+49 30 30882984,https://beautynailsimkaufland.mytreatwell.de/
173,Benefit Cosmetics BrowBar,5.0,(9),Beauty salon,Französische Straße 23, berlin,Germany,Opens at 10:00 AM ·,+49 172 4281366,https://www.benefitcosmetics.com/de/de?utm_source=google&utm_medium=gmb&utm_campaign=local
95,Benz Beauty Salon Friseursalon,4.3,(32),Hair salon,Lahnstraße 95, berlin,Germany,,+49 30 68817405,http://www.benzbeautysalon.de/
163,Berlin Aesthetics,4.5,(12),Facial spa,Kastanienallee 98, berlin,Germany,,+49 30 44357737,http://www.berlinaesthetics.com/
10,Berlin Hair Care Salon,4.7,(31),Hair salon,"Vorderhaus, Gartenstraße 2, 10115 Berlin (1.st Floor, Gartenstraße", berlin,Germany,Opens at 10:00 AM ·,+49 176 70634368,http://www.berlinhaircare.de/
184,Berlin Sewing Salon,,,Sewing shop,Wrangelstraße 31, berlin,Germany,,,http://berlinsewingsalon.de/
107,Bfriends Friseure,4.8,(31),Hair salon,Nürnberger Str. 45, berlin,Germany,,+49 30 96595509,https://www.bfriends-friseure.de/
134,Big Beauty,5.0,(4),Beauty salon,Am Friedrichshain 1, berlin,Germany,,+49 30 46793565,http://www.bigbeautystore.de/kontakt.html
120,Biggi´s Nails and Beauty,4.4,(19),Beauty salon,Osdorfer Str. 125, berlin,Germany,,+49 30 74697080,http://www.nailsandbeauty.berlin/
181,Billiard Co. Salon Treptow,4.4,(183),Pool hall,Bouchéstraße 12, berlin,Germany,,+49 30 5347134,http://www.billard-company.de/
168,CESUR Berlin,4.4,(33),Cosmetics store,Linienstraße 71, berlin,Germany,,+49 30 25763020,http://www.cesur-berlin.de/
26,CREATIVE Beauty Lounge,4.9,(69),Beauty salon,Krumme Str. 65, berlin,Germany,,+49 1573 9326059,
130,Cafe Wimpernboutique,4.0,(38),Beauty salon,Brunnenstraße 57, berlin,Germany,,+49 162 9158955,http://www.wimpernboutique-berlin.de/
167,Club Olympus Spa & Fitness,4.3,(28),Beauty salon,Marlene-Dietrich-Platz 2, berlin,Germany,,+49 30 25531890,http://www.clubolympusberlin.de/
142,Coiffeur Suphi,4.0,(32),Hair salon,Karl-Marx-Straße 117, berlin,Germany,,+49 30 64444064,https://m.facebook.com/pages/Coiffeur-Suphi/649153188587061
145,Coiffeurteam Goerlich,4.7,(17),Hair salon,Rupprechtstraße 37, berlin,Germany,,+49 30 5101275,http://www.coiffeurteam-goerlich.de/
32,Cosmetic Studio Blank,4.7,(32),Beauty salon,Stargarder Str. 74, berlin,Germany,,+49 30 4458499,http://www.cosmetic-studio-blank.de/
