,Firmenname / COMPANY NAME,rating,reviews,Branche / INDUSTRY,Strasse / Street,Stadt / City,Land / COUNTRY,opening_hours,phone_number,website
156,"""Korsmedic"" Kosmetik Berlin - Weissensee - by Dr. Kors",5.0,(1),Facial spa,"im Hautzentrum Weissensee / Dr. Kors, Schönstraße 5",berlin,Germany,Open until 1:00 PM ·,+49 30 343470717,https://korsmedic.de/
107,AVA Friseur,4.9,(38),Hairdresser,Grünberger Str. 1,berlin,Germany,,+49 30 82717127,http://www.ava-salon.com/
165,Al Ali Friseur Salon,4.8,(69),Barber shop,Schönwalder Str. 18,berlin,Germany,,+49 176 84728848,
190,Alexanderplatz,4.3,"(147,253)",Plaza,,berlin,Germany,Open until 6:00 PM,,http://www.berlin.de/orte/sehenswuerdigkeiten/alexanderplatz/index.en.php
185,Alge im Botanischen Salon Berlin,,,Raw food restaurant,Berlin,berlin,Germany,,+49 30 52660051,
148,Amazon Waxing,4.7,(41),Hair removal service,Bülowstraße 31,berlin,Germany,,+49 30 30104616,http://www.amazonwaxing.net/
32,Anails - beauty salon,4.9,(80),Nail salon,Große Hamburger Str. 13,berlin,Germany,,+49 30 53670399,https://www.facebook.com/ANails-Berlin-Mitte-165815374079490/
63,Anne Rosenblatt Die Friseurmeisterin,5.0,(11),Beauty salon,Schillerpromenade 9,berlin,Germany,Opens at 12:00 AM ·,+49 178 5966973,http://anne-rosenblatt.de/
93,Ashanti für Afro Hair & Beauty,4.7,(43),Hair salon,Nordhauser Str. 8,berlin,Germany,,+49 30 3425870,
83,Atelier Dennis Creuzberg,4.7,(49),Hair salon,Auguststraße 2A,berlin,Germany,,+49 30 81709740,http://www.creuzberg.com/
167,Aveda,,,Hair salon,Hegelallee 44,berlin,Germany,,,
187,Aveda,4.8,(6),Cosmetics store,Berlin,berlin,Germany,,+49 30 257620440,http://www.aveda.de/
3,Aveda Lifestyle Salon & Spa,4.3,(121),Beauty salon,Kurfürstendamm 26A,berlin,Germany,,+49 30 88708790,http://www.aveda.de/
153,BABOR Berlin – Mitte,4.8,(43),Cosmetics store,Französische Straße 48,berlin,Germany,Opens at 12:00 PM ·,+49 30 20622222,http://www.babor-berlin.de/
29,BEAUTY MOMENTS,4.5,(49),Beauty salon,Knaackstraße 49,berlin,Germany,,+49 30 22466334,http://www.beautymomentsberlin.de/
125,BYBLOS SALON,4.5,(60),Hair salon,Scharnweberstraße 122,berlin,Germany,,+49 176 67667070,https://www.facebook.com/Herren.Friseur.Byblos/
94,Barber Salon Aida,4.0,(60),Hair salon,Hobrechtstraße 3,berlin,Germany,,+49 30 6221536,http://s660112838.website-start.de/kontakt/
105,Beauty Nails,2.3,(28),Nail salon,Schönleinstraße 35,berlin,Germany,,+49 1522 3251124,
