,Firmenname / COMPANY NAME,rating,reviews,Branche / INDUSTRY,Strasse / Street,Stadt / City,Land / COUNTRY,opening_hours,phone_number,website
286,ATOS Klinik Fleetinsel,5.0,(13),Orthopedic clinic,Hamburg,hamburg,Germany,,+49 40 376710,https://atos-kliniken.com/de/hamburg/
257,Alpha-Ärzte Hamburg,1.0,(1),Emergency care service,Hamburg,hamburg,Germany,Open until 11:00 PM ·,+49 40 6379536887,about:invalid#zjslayoutz
262,Andreas Bockholt,4.7,(6),Neurologist,Hamburg,hamburg,Germany,,+49 40 30068760,http://www.neurologie-neuer-wall.de/
283,Argon Orthopaedics Hamburg,4.1,(40),Orthopedic surgeon,Hamburg,hamburg,Germany,,+49 40 35015060,http://www.argon-orthopaedie.de/
273,Asklepios Hospital Barmbek,2.9,(255),Medical clinic,Hamburg,hamburg,Germany,,+49 40 1818820,https://www.asklepios.com/hamburg/barmbek/
308,Asklepios Klinik St. Georg,3.0,(257),General hospital,Hamburg,hamburg,Germany,,+49 40 1818850,https://www.asklepios.com/hamburg/sankt-georg/
240,Augenaerzte am Rathaus,2.6,(22),Medical clinic,Hamburg,hamburg,Germany,,+49 40 373498,http://www.augenaerzteamrathaus.de/
252,Augenarzt Praxis Dr. Möller RefractivEyes Hamburg,,,Ophthalmologist,,hamburg,Germany,,+49 40 326822,http://www.refractiveyes.com/
156,Augenlaser-Klinik Hamburg - Dr. Thomas Pahlitzsch - Lasermed,,,Lasik surgeon,Kurze Mühren 1,hamburg,Germany,,+49 40 40185858,https://augenlasern-hamburg.lasermed.de/
274,Augenlaserzentrum Ballindamm,5.0,(2),Lasik surgeon,Hamburg,hamburg,Germany,,+49 800 0220550,https://www.augenlaserzentrum-ballindamm.de/
213,BELLARI Hamburg,4.0,(14),Skin care clinic,"Hanse-Viertel, Große Bleichen 36",hamburg,Germany,,+49 40 41916720,http://www.bellari.de/
192,CARE Vision Augenlasern & LASIK Hamburg ABC Straße,4.9,(11),Eye care center,ABC-Straße 21,hamburg,Germany,,+49 800 8888474,https://www.care-vision.de/augenlasern-lasik-beratungszentrum-hamburg-city/?pid=5201&utm_source=google_maps&utm_medium=Maps&utm_campaign=hamburg_city&utm_content=content
187,Cardiac surgery Dr. med. John Markworth,4.3,(25),Internist,Schäferkampsallee 30,hamburg,Germany,,+49 40 441001,https://www.jameda.de/hamburg/aerzte/innere-allgemeinmediziner/dr-john-markworth/uebersicht/81188457_1/?utm_medium=GMB&utm_source=GMB&utm_campaign=GMB
218,Center Endocrine Medicine - Dr. med Waller.,3.8,(19),Endocrinologist,Neuer Wall 43,hamburg,Germany,,+49 40 45038444,http://www.endokrinemedizin.de/
204,Chirurgische Gemeinschaftspraxis Dr. Glinka & Dr. Ohm,2.9,(50),Surgeon,Berner Heerweg 173-175,hamburg,Germany,,+49 40 6430050,http://www.praxis-glinka-ohm.de/
143,Clinic Dr. Meyer-Walters,5.0,(12),Plastic surgeon,Rothenbaumchaussee 22,hamburg,Germany,,+49 40 41910120,http://www.plastischer-chirurg-hamburg.de/
317,Clinic-based Veterinary practice Dr. Gervers,4.6,(75),Veterinarian,Hamburg,hamburg,Germany,,+49 40 619200,https://tierarzthh.de/
290,Conradia Medical Prevention Hamburg | ehem. Medizinisches PräventionsCentrum Hamburg (MPCH),4.0,(4),Diagnostic center,Hamburg,hamburg,Germany,,+49 40 468636111,http://www.mpch.de/
201,Cromme Cosmetics,4.9,(27),Doctor,Stephanspl. 5,hamburg,Germany,,+49 40 351075550,http://cromme-cosmetics.de/
258,DERMATOLOGIKUM HAMBURG,3.6,(96),Dermatologist,Hamburg,hamburg,Germany,,+49 40 3510750,http://www.dermatologikum.de/
242,DERMOAESTHETIC Dr. Schaart Hamburg,5.0,(1),Dermatologist,Hamburg,hamburg,Germany,,+49 40 328078830,https://dermoaesthetic.de/
271,Dagmar Carstens,4.8,(12),Ophthalmologist,Hamburg,hamburg,Germany,,+49 40 33441688,https://augenarzt-hamburg-city.de/
253,Dental clinic ABC Bogen,4.5,(35),Dentist,Hamburg,hamburg,Germany,,+49 40 35004114,http://www.zahnklinik-abc-bogen.de/
26,Doctors Am Kaiserkai,4.1,(19),Doctor,Am Kaiserkai 46,hamburg,Germany,,+49 40 64661760,http://www.aerzteamkaiserkai.de/
194,Dozent Dr. Andreas Werner,,,Orthopedic surgeon,Große Bleichen 5,hamburg,Germany,,+49 40 35015060,http://www.argon-orthopaedie.de/
9,Dr. (Univ. Belgrade) Nikola Krizmanic,5.0,(2),Plastic surgeon,Mönckebergstraße 5,hamburg,Germany,,+49 40 35711122,http://www.kosmed-klinik.de/
55,"Dr. Alexiev, Dr. Schinkel und Kollegen",4.7,(23),Doctor,Julius-Brecht-Straße 11,hamburg,Germany,,+49 40 8078800,http://www.chirurgie-hamburg.net/
65,Dr. Alina Boberg – Praxis für Zahnheilkunde,4.4,(7),Doctor,Wedeler Landstraße 43,hamburg,Germany,,+49 40 818130,http://www.dr-alinaboberg.de/
50,Dr. Astrid Dangel Fachärztin für Frauenheilkunde,3.0,(2),Doctor,Mönckebergstraße 10,hamburg,Germany,,+49 800 5891688,http://www.amedes-experts-hamburg.de/
127,Dr. Birgit Lorenz,4.6,(10),Ophthalmologist,Wartenau 6,hamburg,Germany,,+49 40 25331273,
152,Dr. Bredow,3.4,(40),Neurologist,Neuer Wall 19,hamburg,Germany,,+49 40 30068760,http://www.neurologie-neuer-wall.de/
